[10:55:21] [INFO] received Windows console close event; shutting log-core down
[13:27:09] [INFO] received Windows console close event; shutting log-core down
[13:29:48] [INFO] received Windows console close event; shutting log-core down
[13:49:59] [INFO] received Windows console close event; shutting log-core down
[21:17:02] [INFO] received Windows console close event; shutting log-core down
[21:30:14] [INFO] received Windows console close event; shutting log-core down
[09:34:11] [INFO] received Windows console close event; shutting log-core down
[09:39:11] [INFO] received Windows console close event; shutting log-core down
[11:52:17] [INFO] received Windows console close event; shutting log-core down
[12:32:57] [INFO] received Windows console close event; shutting log-core down
[13:59:08] [INFO] received Windows console close event; shutting log-core down
[01:08:22] [INFO] received Windows console close event; shutting log-core down
[08:38:40] [INFO] received Windows console close event; shutting log-core down
[08:49:30] [INFO] received Windows console close event; shutting log-core down
[09:31:31] [INFO] received Windows console close event; shutting log-core down
[17:50:29] [INFO] received Windows console close event; shutting log-core down
[17:58:01] [INFO] received Windows console close event; shutting log-core down
[18:09:49] [INFO] received Windows console close event; shutting log-core down
[18:25:15] [INFO] received Windows console close event; shutting log-core down
[22:28:49] [INFO] received Windows console close event; shutting log-core down
[22:36:05] [INFO] received Windows console close event; shutting log-core down
[11:27:58] [INFO] received Windows console close event; shutting log-core down
[12:00:46] [INFO] received Windows console close event; shutting log-core down
[12:05:30] [INFO] received Windows console close event; shutting log-core down
[13:03:15] [INFO] received Windows console close event; shutting log-core down
[13:20:45] [INFO] received Windows console close event; shutting log-core down
[13:27:34] [INFO] received Windows console close event; shutting log-core down
[15:17:20] [INFO] received Windows console close event; shutting log-core down
[15:17:50] [INFO] received Windows console close event; shutting log-core down
[15:30:46] [INFO] received Windows console close event; shutting log-core down
[15:38:06] [INFO] received Windows console close event; shutting log-core down
[15:49:06] [INFO] received Windows console close event; shutting log-core down
[17:23:27] [INFO] received Windows console close event; shutting log-core down
[22:21:16] [INFO] received Windows console close event; shutting log-core down
[00:28:39] [INFO] received Windows console close event; shutting log-core down
[00:29:22] [INFO] received Windows console close event; shutting log-core down
[00:31:30] [INFO] received Windows console close event; shutting log-core down
[00:53:59] [INFO] received Windows console close event; shutting log-core down
[00:54:48] [INFO] received Windows console close event; shutting log-core down
[00:57:24] [INFO] received Windows console close event; shutting log-core down
[00:57:36] [INFO] received Windows console close event; shutting log-core down
[01:02:45] [INFO] received Windows console close event; shutting log-core down
[01:02:57] [INFO] received Windows console close event; shutting log-core down
[01:03:11] [INFO] received Windows console close event; shutting log-core down
[01:07:12] [INFO] received Windows console close event; shutting log-core down
[01:07:44] [INFO] received Windows console close event; shutting log-core down
[07:42:36] [INFO] received Windows console close event; shutting log-core down
[08:07:17] [INFO] received Windows console close event; shutting log-core down
[08:07:17] [INFO] received Windows console close event; shutting log-core down
[08:12:51] [INFO] received Windows console close event; shutting log-core down
[08:18:05] [INFO] received Windows console close event; shutting log-core down
[08:20:02] [INFO] received Windows console close event; shutting log-core down
[08:21:03] [INFO] received Windows console close event; shutting log-core down
[08:34:50] [INFO] received Windows console close event; shutting log-core down
[11:29:33] [INFO] received Windows console close event; shutting log-core down
[11:33:00] [INFO] received Windows console close event; shutting log-core down
[11:42:16] [INFO] received Windows console close event; shutting log-core down
[21:44:22] [INFO] received Windows console close event; shutting log-core down
[21:46:41] [INFO] received Windows console close event; shutting log-core down
[21:58:54] [INFO] received Windows console close event; shutting log-core down
[21:59:42] [INFO] received Windows console close event; shutting log-core down
[22:04:05] [INFO] received Windows console close event; shutting log-core down
[00:35:15] [INFO] received Windows console close event; shutting log-core down
[00:39:39] [INFO] received Windows console close event; shutting log-core down
[00:42:00] [INFO] received Windows console close event; shutting log-core down
